87.34	540
89.14	604
101.96	796
113.46	668
114.45	256
115.75	192
126.33	732
128.73	256
129.90	192
145.25	192
150.96	462
159.53	192
169.35	192
196.45	526
203.53	256
203.94	398
210.61	334
229.59	270
236.45	0
279.83	810
283.54	1002
285.81	1066
287.05	192
291.47	874
296.35	256
311.40	256
345.37	874
348.58	938
350.60	938
353.15	810
357.94	1066
362.39	1002
366.52	192
368.70	256
411.80	256
434.75	192
75.82	797
84.69	541
86.90	1
97.96	605
100.91	733
104.03	193
105.67	669
168.55	335
169.60	527
177.15	257
188.15	257
213.92	463
216.06	399
218.78	193
229.63	193
238.58	193
238.67	811
243.20	1
248.30	193
257.94	271
260.80	1
284.12	1
313.52	875
323.50	1067
336.70	1003
338.73	1067
339.60	193
341.05	257
343.34	811
367.44	939
380.95	875
387.48	939
395.58	1003
399.47	193
401.42	257
462.72	1
85.22	734
88.20	194
95.47	606
99.68	194
104.07	542
113.18	194
120.64	670
135.64	336
144.66	798
164.87	400
205.35	272
207.78	2
208.68	464
213.75	194
224.58	194
233.65	194
243.85	194
258.18	528
271.05	258
282.62	258
286.64	812
296.07	812
305.24	876
305.36	876
306.62	940
334.07	1004
336.80	194
353.86	1068
358.41	1004
360.83	940
363.58	1068
390.67	258
431.45	258
443.15	194
461.32	194
95.65	607
96.88	799
98.74	543
106.75	195
127.77	735
131.68	195
135.44	273
143.57	671
145.60	195
150.63	3
168.79	941
169.08	401
173.20	131
186.47	465
191.08	195
203.18	195
213.78	529
214.80	337
240.00	813
268.89	1069
269.82	1005
271.02	877
272.77	195
273.64	1069
324.63	813
344.28	1005
348.17	195
366.50	259
393.97	259
400.67	941
405.40	131
419.90	877
421.80	67
455.40	67
77.69	544
80.05	4
86.75	736
90.90	196
94.32	800
102.26	672
103.33	196
104.89	608
206.80	466
207.97	402
208.08	338
211.50	196
223.03	196
224.67	530
232.30	196
263.33	274
266.47	4
266.51	1006
270.30	196
295.71	942
301.16	878
306.13	1006
312.85	1070
313.50	196
352.70	814
360.57	4
361.71	942
388.95	814
392.25	4
410.07	260
427.12	4
434.97	878
438.41	1070
462.47	4
93.18	673
102.99	545
105.68	5
106.25	801
113.31	609
119.95	737
126.73	197
141.18	197
145.66	467
152.25	197
162.95	197
197.90	275
199.30	5
205.51	403
212.31	339
223.25	5
249.90	531
262.97	261
267.58	1007
273.10	197
274.42	261
279.27	815
281.22	5
308.38	879
313.32	879
334.55	943
338.18	943
346.67	197
359.75	815
360.95	1071
361.60	5
374.60	1071
403.92	1007
406.35	261
409.22	197
428.87	197
438.42	261
462.20	5
464.82	197
76.16	738
89.55	198
103.55	198
110.83	610
113.07	802
125.46	546
127.95	6
147.76	674
192.08	276
194.53	6
205.64	532
208.98	6
215.78	262
226.78	262
241.48	340
242.86	468
248.56	404
249.23	198
287.49	944
292.87	1008
293.10	1072
297.51	944
298.14	816
303.30	198
319.60	262
324.66	1072
329.51	816
334.80	262
335.10	6
350.65	198
352.80	262
364.20	1008
375.15	198
406.58	880
412.32	880
459.35	70
91.91	739
92.06	611
95.13	71
98.96	547
101.39	803
123.04	675
125.20	263
139.88	263
175.83	277
178.60	7
184.33	817
193.60	7
203.21	533
207.73	469
213.83	263
218.90	199
225.70	263
230.13	199
255.04	341
292.57	1009
306.47	945
319.05	199
323.30	881
328.85	881
329.48	1009
348.90	945
352.81	817
355.90	199
361.82	7
380.77	1073
400.10	263
413.15	263
431.47	263
443.15	263
453.56	1073
473.02	263
97.99	740
102.68	548
104.15	8
107.22	804
107.63	200
109.00	612
122.13	200
129.58	264
130.68	676
143.18	136
143.98	264
160.25	278
161.30	8
173.98	136
203.57	342
208.75	8
224.54	534
233.83	264
240.54	470
245.73	264
246.35	200
274.92	1010
278.33	882
278.40	1074
282.28	818
282.80	200
284.05	8
293.05	818
295.35	8
295.95	264
315.71	946
321.75	882
325.20	136
333.62	946
341.80	136
363.26	1010
366.43	1074
371.20	200
384.12	264
388.27	200
399.85	264
444.47	136
461.90	8
493.90	136
91.31	741
91.96	613
96.40	201
100.54	549
102.23	9
106.01	805
109.15	201
110.96	677
131.93	471
137.58	201
148.16	279
149.20	201
149.23	9
161.75	201
174.06	343
204.36	535
210.50	137
212.45	265
223.85	265
244.99	883
248.23	1075
267.90	265
276.49	1011
280.62	201
284.65	265
295.61	947
301.68	819
302.92	265
303.90	9
306.37	137
330.55	947
331.68	819
333.67	9
341.47	137
342.54	1011
347.25	201
365.29	883
386.09	1075
405.42	265
415.22	201
415.40	137
440.07	265
462.77	9
495.05	137
76.88	678
102.95	202
107.13	806
114.70	202
117.92	742
122.54	614
133.54	550
140.33	10
168.20	472
172.73	202
179.75	344
184.20	202
206.67	536
211.88	1076
213.21	280
217.73	266
228.83	266
238.88	266
248.29	820
285.47	948
304.98	820
316.48	884
334.73	884
350.35	1012
353.45	202
366.26	1012
376.87	948
407.35	1076
433.97	266
466.72	266
494.47	138
75.85	743
78.28	203
88.25	203
94.44	679
107.42	551
108.98	203
109.90	11
112.05	807
113.76	615
151.08	345
210.31	473
215.25	203
226.00	203
232.40	537
234.95	203
244.45	203
244.70	281
244.95	267
246.38	11
284.00	11
289.68	1077
307.50	1013
309.80	203
309.99	885
312.85	1077
328.64	949
335.27	267
337.70	139
363.94	949
370.13	821
372.47	139
372.60	11
374.78	821
391.24	885
395.70	203
406.00	11
414.67	203
426.52	11
430.14	1013
432.60	203
444.62	139
463.00	11
96.57	680
96.75	552
97.73	12
101.10	140
102.83	204
104.37	744
112.56	616
144.03	808
190.99	282
191.80	12
207.65	474
210.58	140
212.08	204
212.44	538
223.45	204
232.50	204
242.00	204
251.30	140
262.79	346
277.66	886
314.36	950
317.45	1078
317.92	140
318.56	1014
320.67	204
324.97	822
325.09	950
326.42	12
332.50	822
373.40	140
407.67	1014
409.67	204
412.45	886
414.62	268
426.67	12
443.97	140
457.48	1078
461.62	12
493.15	204
493.65	140
89.37	617
92.15	77
100.40	745
103.08	205
109.30	553
111.23	13
125.95	205
129.04	681
132.01	809
137.38	475
142.63	205
143.78	141
153.20	205
163.45	205
168.41	347
173.48	141
174.70	205
187.54	539
210.13	141
212.80	887
220.22	283
221.70	13
258.63	13
269.05	823
274.52	13
283.28	823
285.09	887
287.60	1015
289.82	205
293.77	13
307.93	1015
313.94	951
322.25	1079
325.02	141
329.00	1079
354.88	951
364.10	141
413.90	141
445.75	141
95.40	78
101.17	554
101.71	682
106.24	746
108.23	206
118.31	618
135.15	206
192.34	476
197.45	206
208.35	206
210.95	348
