96.58	540
98.75	604
103.93	64
104.50	128
106.83	256
110.58	192
114.10	796
123.08	192
127.86	668
133.84	462
139.20	192
143.28	732
150.08	192
176.93	526
182.83	256
184.03	398
190.36	334
208.34	270
214.50	0
82.79	797
93.41	541
95.48	1
103.88	129
107.35	257
109.30	605
110.15	193
112.83	733
118.54	669
122.33	193
150.50	335
151.49	527
159.65	257
171.78	257
193.49	463
195.52	399
209.88	193
235.20	271
237.50	1
252.23	1
275.32	1
310.10	1
94.05	734
98.18	194
103.63	130
106.33	606
109.38	258
111.78	194
116.63	542
119.32	336
136.46	670
147.01	400
165.23	798
185.37	272
187.58	2
188.53	464
213.65	2
235.43	528
103.50	131
105.45	67
106.54	607
108.02	799
110.24	543
111.85	195
113.48	259
119.13	273
145.01	735
151.00	401
163.92	671
167.48	465
171.98	195
183.53	195
193.36	529
194.33	337
203.88	195
85.03	544
87.28	4
95.88	736
104.18	196
104.45	132
104.94	800
105.10	68
114.46	672
117.60	608
118.23	260
119.30	196
186.75	466
187.85	402
187.96	338
191.35	196
203.68	530
212.35	196
240.31	274
242.93	4
263.50	4
291.47	4
103.58	673
105.43	69
112.45	261
114.70	197
115.33	545
117.83	5
119.24	801
127.69	609
128.81	467
135.64	737
156.45	197
178.31	275
179.48	5
185.53	403
191.96	339
227.58	531
239.48	261
83.20	738
110.10	262
116.75	198
122.73	262
124.71	610
127.40	802
142.24	546
145.00	6
168.94	674
172.79	276
175.03	6
185.65	532
188.20	6
207.63	262
219.61	340
220.91	468
226.32	404
227.30	198
238.35	198
102.06	739
102.24	611
104.08	71
109.28	263
110.50	547
113.42	803
139.34	675
157.40	277
159.98	7
183.34	533
187.63	469
189.33	7
190.50	135
190.58	263
232.45	341
108.98	264
109.08	72
109.34	740
114.93	200
114.96	548
116.48	8
120.40	804
122.53	612
142.64	278
143.55	8
148.49	676
157.05	136
183.69	342
190.10	136
203.55	534
210.78	264
218.72	470
224.98	200
235.93	200
240.70	136
101.34	741
102.13	613
104.83	73
108.85	265
109.03	201
112.40	549
114.18	9
115.80	471
118.94	805
121.98	201
124.87	677
131.18	279
132.25	9
152.88	201
155.72	343
184.43	535
189.50	9
190.15	137
321.27	137
84.07	678
108.63	202
108.88	266
120.28	806
133.21	742
138.74	614
140.75	202
150.17	472
151.91	550
155.60	202
161.11	344
186.62	536
192.81	280
208.70	266
321.97	138
82.83	743
86.28	203
98.38	203
105.10	679
109.73	267
120.63	551
122.40	267
122.65	11
126.18	807
128.23	615
133.94	345
190.07	473
211.00	537
222.65	281
224.05	11
225.05	267
236.43	267
275.20	11
309.47	11
105.28	76
107.65	680
107.86	552
108.73	12
108.73	204
112.00	268
112.25	140
116.99	744
120.65	204
126.79	616
164.47	808
171.77	282
172.53	12
187.55	474
190.03	140
192.09	538
213.33	204
234.33	204
235.48	12
239.80	346
241.55	140
99.02	617
100.48	77
110.08	205
112.23	745
120.96	475
122.00	205
122.88	553
124.68	13
146.52	681
150.08	809
150.37	347
151.65	205
156.33	141
168.49	539
189.35	141
199.46	283
200.78	13
213.05	141
